"Rank","Player","Team","Bye","POS","AVG"
"124","Jake Ferguson","DAL","","TE10","124.0"
"125","Travis Kelce","KC","","TE11","125.0"
"126","Jonathon Brooks","CAR","","RB42","126.0"
"127","Khalil Shakir","BUF","","WR54","127.0"
"128","Mark Andrews","BAL","","TE12","128.0"
"129","Tyrone Tracy Jr.","NYG","","RB43","129.0"
"130","Jalen Coker","CAR","","WR55","130.0"
"131","Dalton Kincaid","BUF","","TE13","131.0"
"132","Malik Willis","MIA","","QB21","132.0"
"133","Isaiah Likely","NYG","","TE14","133.0"
"134","Oronde Gadsden II","LAC","","TE15","134.0"
"135","Dallas Goedert","PHI","","TE16","135.0"
"136","Rashid Shaheed","SEA","","WR56","136.0"
"137","Sam Darnold","SEA","","QB22","137.0"
"138","Cam Ward","TEN","","QB23","138.0"
"139","Omar Cooper Jr.","NYJ","","WR57","139.0"
"140","Jonah Coleman","DEN","","RB44","140.0"
"141","Stefon Diggs","","","WR58","141.0"
"142","C.J. Stroud","HOU","","QB24","142.0"
"143","Jalen McMillan","TB","","WR59","143.0"
"144","Keaton Mitchell","LAC","","RB45","144.0"
"145","Travis Hunter","JAC","","WR60","145.0"
"146","Jauan Jennings","MIN","","WR61","146.0"
"147","Daniel Jones","IND","","QB25","147.0"
"148","Kenyon Sadiq","NYJ","","TE17","148.0"
"149","Woody Marks","HOU","","RB46","149.0"
"150","Hunter Henry","NE","","TE18","150.0"
"151","Isiah Pacheco","DET","","RB47","151.0"
"152","Brenton Strange","JAC","","TE19","152.0"
"153","Chig Okonkwo","WAS","","TE20","153.0"
"154","Bryce Young","CAR","","QB26","154.0"
"155","Juwan Johnson","NO","","TE21","155.0"
"156","Zach Charbonnet","SEA","","RB48","156.0"
"157","Jalen Nailor","LV","","WR62","157.0"
"158","Tre Tucker","LV","","WR63","158.0"
"159","Tyler Allgeier","ARI","","RB49","159.0"
"160","Denzel Boston","CLE","","WR64","160.0"
"161","Antonio Williams","WAS","","WR65","161.0"
"162","Tyjae Spears","TEN","","RB50","162.0"
"163","T.J. Hockenson","MIN","","TE22","163.0"
